"","N_Emp","Maior_n_Func","Maior_Fat","KSoc","Serv","Infra","Comerc","Sul","Centro-Oeste","Sudeste","Transf","Nordeste","Norte","Constr","Extr","Agr","Entidade"
"CNI1","5 a 10 Emp","50-199 Func","De 10 a 30M Fat","10M a 100M KSoc","y","y","y","y","y","y","n","n","n","n","n","n","CNI"
"CNI2","Mais de 10 Emp","50-199 Func","De 2,4 a 5M Fat","1M a 10M KSoc","y","n","y","n","n","n","y","y","n","n","n","n","CNI"
"CNI3","2 a 5 Emp","20-99 Func","Até 2,4M Fat","1M a 10M KSoc","y","n","n","n","n","n","y","y","n","n","n","n","CNI"
"CNI4","2 a 5 Emp","100-199 Func","De 5 a 10M Fat","1M a 10M KSoc","y","n","y","n","n","n","y","y","n","n","n","n","CNI"
"CNI5","Mais de 10 Emp","Mais de 200 Func","Mais de 100M Fat","10M a 100M KSoc","y","n","n","y","y","y","y","y","y","n","n","n","CNI"
"CNI6","Mais de 10 Emp","Até 19 Func","Até 240k Fat","Mais de 100M KSoc","y","n","n","y","n","y","y","y","n","y","n","n","CNI"
"CNI7","5 a 10 Emp","20-99 Func","Até 2,4M Fat","1M a 10M KSoc","y","n","y","y","n","y","y","n","n","n","n","n","CNI"
"CNI8","Mais de 10 Emp","100-199 Func","De 2,4 a 5M Fat","Mais de 100M KSoc","y","n","y","n","y","y","y","n","n","n","n","n","CNI"
"CNI9","Até 1 Emp","Até 19 Func","Até 240k Fat","Até 100k KSoc","n","n","n","n","n","n","n","y","n","n","y","n","CNI"
"CNI10","Mais de 10 Emp","Mais de 200 Func","De 50 a 100M Fat","Mais de 100M KSoc","y","y","y","n","n","y","y","y","n","n","y","n","CNI"
"CNI11","5 a 10 Emp","20-99 Func","Até 2,4M Fat","1M a 10M KSoc","y","n","n","n","n","y","y","y","n","y","n","y","CNI"
"CNI12","5 a 10 Emp","100-199 Func","De 2,4 a 5M Fat","1M a 10M KSoc","y","n","y","n","n","n","y","y","y","n","n","y","CNI"
"CNI13","2 a 5 Emp","100-199 Func","De 5 a 10M Fat","1M a 10M KSoc","y","n","n","y","n","n","y","n","n","n","n","n","CNI"
"CNI14","Mais de 10 Emp","50-199 Func","De 5 a 10M Fat","10M a 100M KSoc","y","n","n","y","n","n","y","n","n","n","n","n","CNI"
"CNI15","5 a 10 Emp","100-199 Func","De 5 a 10M Fat","1M a 10M KSoc","y","n","y","n","y","n","n","n","n","n","y","n","CNI"
"CNI16","Mais de 10 Emp","Mais de 200 Func","De 50 a 100M Fat","Mais de 100M KSoc","y","y","y","n","y","y","y","y","y","y","n","n","CNI"
"CNI17","2 a 5 Emp","Até 19 Func","Até 240k Fat","Até 100k KSoc","n","n","n","n","y","n","y","n","n","n","n","n","CNI"
"CNI18","Mais de 10 Emp","Mais de 200 Func","De 10 a 30M Fat","10M a 100M KSoc","y","n","y","y","y","y","y","n","n","n","n","n","CNI"
"CNI19","Mais de 10 Emp","100-199 Func","De 5 a 10M Fat","Mais de 100M KSoc","y","n","y","n","y","y","n","y","n","y","n","y","CNI"
"CNI20","5 a 10 Emp","100-199 Func","De 10 a 30M Fat","10M a 100M KSoc","y","n","y","n","n","n","y","y","n","y","y","n","CNI"
"CNI21","2 a 5 Emp","100-199 Func","De 5 a 10M Fat","1M a 10M KSoc","n","n","y","n","n","n","y","n","y","y","n","n","CNI"
"CNI22","Mais de 10 Emp","100-199 Func","De 10 a 30M Fat","1M a 10M KSoc","y","n","y","n","n","n","y","y","n","y","y","n","CNI"
"CNI23","Até 1 Emp",NA,NA,NA,"n","n","n","n","n","n","n","n","n","n","n","n","CNI"
"CNI24","Mais de 10 Emp","100-199 Func","De 5 a 10M Fat","10M a 100M KSoc","y","n","y","y","n","y","y","y","n","n","n","n","CNI"
"CNI25","Mais de 10 Emp","Mais de 200 Func","Mais de 100M Fat","Mais de 100M KSoc","y","n","n","n","n","y","y","y","n","y","n","y","CNI"
"CNI26","2 a 5 Emp","10-49 Func","Até 2,4M Fat","1M a 10M KSoc","y","n","y","n","n","n","n","y","y","n","n","n","CNI"
"CNI27","2 a 5 Emp","100-199 Func","De 2,4 a 5M Fat","1M a 10M KSoc","n","n","y","n","n","n","y","n","y","n","n","n","CNI"
"CNI28","5 a 10 Emp","100-199 Func","De 10 a 30M Fat","10M a 100M KSoc","y","n","n","n","y","y","y","n","n","n","n","n","CNI"
"CNI29","5 a 10 Emp","100-199 Func","De 5 a 10M Fat","10M a 100M KSoc","y","n","n","n","y","n","y","n","n","n","n","y","CNI"
"CNI30","Mais de 10 Emp","100-199 Func","De 2,4 a 5M Fat","10M a 100M KSoc","y","n","y","n","n","y","y","y","n","y","n","n","CNI"
"CNI31","5 a 10 Emp","20-99 Func","Até 2,4M Fat","1M a 10M KSoc","y","n","y","n","y","n","y","n","n","y","y","n","CNI"
"CNI32","2 a 5 Emp","100-199 Func","De 2,4 a 5M Fat","10M a 100M KSoc","n","n","n","n","n","n","y","y","n","n","y","n","CNI"
"CNI33","Mais de 10 Emp","Mais de 200 Func","De 50 a 100M Fat","10M a 100M KSoc","y","n","y","n","n","n","n","y","y","n","n","n","CNI"
"CNI34","Mais de 10 Emp","100-199 Func","De 10 a 30M Fat","10M a 100M KSoc","y","n","y","n","y","y","n","y","y","y","n","y","CNI"
"CNI35","Mais de 10 Emp","Mais de 200 Func","De 50 a 100M Fat","10M a 100M KSoc","y","y","y","y","y","n","y","y","y","n","n","n","CNI"
