"","N_Emp","Maior_n_Func","Maior_Fat","KSoc","Serv","Constr","Agr","Centro-Oeste","Nordeste","Comerc","Transf","Sudeste","Extr","Norte","Sul","Infra","Entidade"
"FIEG1","5 a 10 Emp","100-199 Func","De 5 a 10M Fat","1M a 10M KSoc","y","y","y","y","y","n","n","n","n","n","n","n","FIEG"
"FIEG2","2 a 5 Emp","10-49 Func","Até 2,4M Fat","100k a 1M KSoc","n","n","n","y","n","y","n","n","n","n","n","n","FIEG"
"FIEG3","2 a 5 Emp","Até 9 Func","Até 240k Fat","1M a 10M KSoc","y","n","n","y","n","n","n","n","n","n","n","n","FIEG"
"FIEG4","Mais de 10 Emp","20-99 Func","Até 2,4M Fat","1M a 10M KSoc","y","y","n","y","y","y","y","y","n","n","n","n","FIEG"
"FIEG5","2 a 5 Emp","10-49 Func","Até 2,4M Fat","1M a 10M KSoc","y","y","n","y","n","n","n","n","n","n","n","n","FIEG"
"FIEG6","2 a 5 Emp","10-49 Func","Até 2,4M Fat","1M a 10M KSoc","y","n","n","y","n","y","y","n","n","n","n","n","FIEG"
"FIEG7","2 a 5 Emp","100-199 Func","De 10 a 30M Fat","1M a 10M KSoc","n","y","n","y","n","n","n","n","n","n","n","n","FIEG"
"FIEG8","Mais de 10 Emp","100-199 Func","De 10 a 30M Fat","10M a 100M KSoc","y","y","n","y","n","n","y","n","y","n","n","n","FIEG"
"FIEG9","2 a 5 Emp","Até 19 Func","Até 240k Fat","Até 100k KSoc","y","n","n","y","n","n","y","n","n","n","n","n","FIEG"
"FIEG10","2 a 5 Emp","Mais de 200 Func","De 30 a 50M Fat","10M a 100M KSoc","y","y","n","y","n","n","n","n","n","n","n","n","FIEG"
"FIEG11","Mais de 10 Emp","Mais de 200 Func","De 30 a 50M Fat","1M a 10M KSoc","y","y","y","y","y","y","y","y","n","y","n","n","FIEG"
"FIEG12","2 a 5 Emp","Até 9 Func","Até 240k Fat","Até 100k KSoc","y","y","n","y","n","n","n","n","n","n","n","n","FIEG"
"FIEG13","2 a 5 Emp","20-99 Func","Até 2,4M Fat","Até 100k KSoc","n","n","n","y","n","n","y","n","n","n","n","n","FIEG"
"FIEG14","Mais de 10 Emp","Mais de 200 Func","De 5 a 10M Fat","1M a 10M KSoc","y","n","n","y","y","y","y","y","n","y","y","n","FIEG"
"FIEG15","Até 1 Emp","Até 19 Func","Até 240k Fat","Até 100k KSoc","n","n","n","y","n","n","y","n","n","n","n","n","FIEG"
"FIEG16","Mais de 10 Emp","100-199 Func","De 10 a 30M Fat","10M a 100M KSoc","y","y","y","y","n","n","y","n","y","n","n","y","FIEG"
"FIEG17","5 a 10 Emp","10-49 Func","Até 2,4M Fat","1M a 10M KSoc","y","n","n","y","n","n","n","n","y","n","n","n","FIEG"
"FIEG18","2 a 5 Emp","20-99 Func","Até 2,4M Fat","100k a 1M KSoc","n","n","n","y","n","n","y","n","n","n","n","n","FIEG"
"FIEG19","2 a 5 Emp","10-49 Func","Até 2,4M Fat","Até 100k KSoc","y","n","n","y","n","n","y","n","n","n","n","n","FIEG"
"FIEG20","Mais de 10 Emp","10-49 Func","Até 2,4M Fat","10M a 100M KSoc","y","n","n","y","y","y","y","y","n","y","y","n","FIEG"
"FIEG21","2 a 5 Emp","100-199 Func","De 10 a 30M Fat",NA,"y","n","n","y","n","y","y","n","n","n","n","n","FIEG"
"FIEG22","2 a 5 Emp","10-49 Func","Até 2,4M Fat","100k a 1M KSoc","y","n","n","y","n","y","y","n","n","n","n","n","FIEG"
"FIEG23","2 a 5 Emp","20-99 Func","Até 2,4M Fat",NA,"n","n","n","y","n","y","y","n","n","n","n","n","FIEG"
"FIEG24","2 a 5 Emp","Até 19 Func","Até 240k Fat","100k a 1M KSoc","y","y","n","y","n","y","n","n","n","n","n","n","FIEG"
"FIEG25","5 a 10 Emp","Mais de 200 Func","De 30 a 50M Fat","100k a 1M KSoc","y","n","n","y","n","y","y","n","n","y","n","n","FIEG"
"FIEG26","5 a 10 Emp","100-199 Func","De 5 a 10M Fat","1M a 10M KSoc","y","y","n","y","n","y","n","n","n","n","n","y","FIEG"
"FIEG27","Mais de 10 Emp","100-199 Func","De 10 a 30M Fat","1M a 10M KSoc","y","n","y","y","n","n","y","n","y","y","n","n","FIEG"
"FIEG28","2 a 5 Emp","Até 19 Func","Até 240k Fat","100k a 1M KSoc","y","n","n","y","n","n","y","n","n","n","n","n","FIEG"
"FIEG29","Até 1 Emp","20-99 Func","Até 2,4M Fat","Até 100k KSoc","n","n","n","y","n","n","y","n","n","n","n","n","FIEG"
"FIEG30","2 a 5 Emp","10-49 Func","Até 2,4M Fat","1M a 10M KSoc","y","n","n","y","n","n","y","n","n","n","n","n","FIEG"
"FIEG31","Mais de 10 Emp","Mais de 200 Func","Mais de 100M Fat","1M a 10M KSoc","y","n","y","y","n","n","y","y","n","y","n","n","FIEG"
"FIEG32","Até 1 Emp","20-99 Func","Até 2,4M Fat","100k a 1M KSoc","n","n","n","y","n","n","y","n","n","n","n","n","FIEG"
"FIEG33","2 a 5 Emp","Até 19 Func","Até 240k Fat","100k a 1M KSoc","n","n","n","y","n","n","y","n","n","n","n","n","FIEG"
"FIEG34","2 a 5 Emp","100-199 Func","De 10 a 30M Fat","1M a 10M KSoc","n","n","n","y","n","n","y","n","n","n","n","n","FIEG"
"FIEG35","5 a 10 Emp","Mais de 200 Func","De 10 a 30M Fat","1M a 10M KSoc","y","y","n","y","n","y","y","n","n","n","n","n","FIEG"
"FIEG36","Mais de 10 Emp","Mais de 200 Func","De 10 a 30M Fat","10M a 100M KSoc","y","n","n","y","y","y","y","y","n","n","n","n","FIEG"
"FIEG37","Mais de 10 Emp","Mais de 200 Func","De 50 a 100M Fat","Mais de 100M KSoc","y","y","y","y","n","y","y","y","n","y","n","y","FIEG"
"FIEG38","Mais de 10 Emp","100-199 Func","De 10 a 30M Fat","1M a 10M KSoc","y","y","n","y","n","n","y","n","n","y","n","n","FIEG"
"FIEG39","2 a 5 Emp","50-199 Func","De 10 a 30M Fat","1M a 10M KSoc","y","n","n","y","n","y","n","n","n","n","n","n","FIEG"
"FIEG40","5 a 10 Emp","20-99 Func","Até 2,4M Fat","100k a 1M KSoc","n","n","n","y","n","y","y","y","n","y","n","n","FIEG"
"FIEG41","2 a 5 Emp","100-199 Func","De 2,4 a 5M Fat","100k a 1M KSoc","n","n","n","y","n","n","y","n","n","n","n","n","FIEG"
"FIEG42","2 a 5 Emp",NA,NA,"1M a 10M KSoc","y","n","n","y","n","y","n","n","n","n","n","n","FIEG"
"FIEG43","Mais de 10 Emp","100-199 Func","De 5 a 10M Fat","Mais de 100M KSoc","y","y","y","y","y","y","y","y","n","y","y","y","FIEG"
"FIEG44","2 a 5 Emp","20-99 Func","Até 240k Fat","100k a 1M KSoc","n","y","n","y","n","n","n","n","n","n","n","n","FIEG"
"FIEG45","Mais de 10 Emp","Mais de 200 Func","De 30 a 50M Fat","Mais de 100M KSoc","y","n","n","y","y","y","y","y","n","y","y","n","FIEG"
"FIEG46","Até 1 Emp","Até 9 Func","Até 240k Fat",NA,"n","n","n","y","n","y","n","n","n","n","n","n","FIEG"
