"","N_Emp","Maior_n_Func","Maior_Fat","KSoc","Comerc","Serv","Agr","Sudeste","Norte","Transf","Constr","Sul","Nordeste","Centro-Oeste","Infra","Extr","Entidade"
"1","2 a 5 Emp",NA,NA,"100k a 1M KSoc","y","y","y","y","y","n","n","n","n","n","n","n","FIESP"
"2","Mais de 5 Emp","Mais de 200 Func","De 2,4 a 5M Fat","Mais de 10M KSoc","y","y","y","y","y","y","y","y","y","y","n","n","FIESP"
"3","Mais de 5 Emp","Mais de 200 Func","Até 240k Fat","Mais de 10M KSoc","y","y","n","y","n","y","n","y","y","n","n","n","FIESP"
"4","Até 1 Emp","50-199 Func","De 2,4 a 5M Fat","Até 100k KSoc","y","y","n","y","n","n","n","n","n","n","n","n","FIESP"
"5","Mais de 5 Emp","100-199 Func","De 5 a 10M Fat","Mais de 10M KSoc","y","y","y","y","n","y","y","y","n","n","y","y","FIESP"
"6","Até 1 Emp","10-49 Func","Até 2,4M Fat","1M a 10M KSoc","n","y","n","y","n","n","n","n","n","n","n","n","FIESP"
"7","Até 1 Emp",NA,NA,NA,"n","n","n","n","n","n","n","n","n","n","n","n","FIESP"
"8","Mais de 5 Emp","Mais de 200 Func","De 2,4 a 5M Fat","Mais de 10M KSoc","y","y","y","y","y","y","n","y","y","y","n","n","FIESP"
"9","Mais de 5 Emp","Mais de 200 Func","De 10 a 30M Fat","Mais de 10M KSoc","n","y","y","y","y","y","y","n","n","y","n","y","FIESP"
"10","Mais de 5 Emp","100-199 Func","De 2,4 a 5M Fat","Mais de 10M KSoc","y","y","n","y","n","y","n","n","n","n","n","n","FIESP"
"11","Mais de 5 Emp","Mais de 200 Func","Até 2,4M Fat","Mais de 10M KSoc","y","y","y","y","y","y","n","y","y","y","y","n","FIESP"
"12","Mais de 5 Emp","Mais de 200 Func","De 2,4 a 5M Fat","Mais de 10M KSoc","n","y","n","y","n","y","n","y","y","y","n","n","FIESP"
"13","2 a 5 Emp","Mais de 200 Func","De 10 a 30M Fat","Mais de 10M KSoc","y","y","n","y","y","y","n","y","y","y","n","n","FIESP"
"14","2 a 5 Emp","20-99 Func","Até 2,4M Fat","Mais de 10M KSoc","y","y","y","y","n","n","n","y","n","y","n","n","FIESP"
"15","Até 1 Emp","10-49 Func","Até 2,4M Fat","1M a 10M KSoc","n","y","n","y","n","n","n","n","n","n","n","n","FIESP"
"16","2 a 5 Emp","50-199 Func","De 2,4 a 5M Fat","Mais de 10M KSoc","y","y","n","y","n","y","y","y","n","n","n","n","FIESP"
"17","2 a 5 Emp","100-199 Func","De 2,4 a 5M Fat","1M a 10M KSoc","n","n","n","y","n","y","n","n","n","n","n","n","FIESP"
"18","Mais de 5 Emp","Mais de 200 Func","De 2,4 a 5M Fat","Mais de 10M KSoc","y","y","y","y","y","y","y","y","y","y","y","y","FIESP"
"19","Mais de 5 Emp","Mais de 200 Func","De 10 a 30M Fat","Mais de 10M KSoc","y","y","y","y","y","y","y","y","y","y","y","n","FIESP"
"20","2 a 5 Emp","20-99 Func","Até 2,4M Fat","100k a 1M KSoc","n","y","n","y","n","y","n","n","n","n","n","n","FIESP"
"21","Mais de 5 Emp","100-199 Func","De 5 a 10M Fat","Mais de 10M KSoc","y","y","n","y","y","y","n","y","y","y","n","n","FIESP"
"22","2 a 5 Emp","Mais de 200 Func","De 50 a 100M Fat","Mais de 10M KSoc","n","y","y","y","n","n","n","n","n","y","n","n","FIESP"
"23","Mais de 5 Emp","100-199 Func","De 2,4 a 5M Fat","Mais de 10M KSoc","y","y","y","y","n","n","n","n","n","y","n","n","FIESP"
"24","Mais de 5 Emp","100-199 Func","De 2,4 a 5M Fat","1M a 10M KSoc","y","y","n","y","n","y","y","n","n","n","n","n","FIESP"
"25","Mais de 5 Emp","Mais de 200 Func",NA,"Mais de 10M KSoc","y","y","y","y","y","y","n","y","y","y","n","n","FIESP"
"26","2 a 5 Emp","10-49 Func","Até 2,4M Fat","100k a 1M KSoc","n","y","n","y","y","n","n","n","n","n","n","n","FIESP"
"27","Mais de 5 Emp","Mais de 200 Func","De 50 a 100M Fat","Mais de 10M KSoc","y","y","n","y","n","y","y","y","n","n","y","n","FIESP"
"28","Mais de 5 Emp","Mais de 200 Func","De 5 a 10M Fat","Mais de 10M KSoc","y","y","y","y","y","y","n","y","n","n","y","n","FIESP"
"29","Mais de 5 Emp","10-49 Func","Até 2,4M Fat","Mais de 10M KSoc","n","y","n","y","n","n","n","n","n","n","n","n","FIESP"
